1 2 3 4 5 6
1 2 3 5 6 7
1 2 5 6 9 10
2 3 4 5 6 7
2 3 4 6 7 8
2 3 6 7 10 11
3 4 5 6 7 8
3 4 5 7 8 9
3 4 7 8 11 12
4 5 6 7 8 9
4 5 6 8 9 10
4 5 8 9 12 13
5 6 7 8 9 10
5 6 7 9 10 11
5 6 9 10 13 14
6 7 8 9 10 11
6 7 8 10 11 12
6 7 10 11 14 15
7 8 9 10 11 12
7 8 9 11 12 13
8 9 10 11 12 13
8 9 10 12 13 14
9 10 11 12 13 14
9 10 11 13 14 15
10 11 12 13 14 15
1 2 3 4 5 7
1 2 3 4 5 8
1 2 3 4 5 9
1 2 3 4 6 7
1 2 3 4 7 8
1 2 4 5 6 8
1 2 4 5 6 9
1 2 4 5 6 10
1 2 4 5 8 9
1 2 5 6 7 8
1 2 5 6 7 9
1 2 5 6 8 9
1 4 5 6 8 9
1 4 5 6 9 10
1 4 5 7 8 9
1 4 5 8 9 10
1 4 5 8 9 12
1 4 5 8 9 13
1 5 6 7 9 10
1 5 6 9 10 11
1 5 6 9 10 13
1 5 6 9 10 14
1 5 8 9 12 13
2 3 4 6 7 11
2 3 4 7 8 11
2 3 4 7 8 12
2 3 6 7 8 10
2 3 6 7 8 11
2 4 5 6 8 9
2 4 5 6 9 10
2 5 6 7 8 9
2 5 6 8 9 10
2 5 6 9 10 11
2 6 7 10 11 12
3 4 5 8 9 12
3 4 5 8 9 13
3 4 6 7 8 9
3 4 6 7 8 11
3 4 7 8 12 13
3 7 8 9 11 12
3 7 8 9 12 13
3 7 8 11 12 13
3 7 8 11 12 15
3 7 10 11 14 15
4 5 6 7 8 10
4 8 9 12 13 14
5 6 7 9 10 13
5 6 7 10 11 15
5 6 8 9 10 11
5 6 8 9 10 12
5 6 9 10 12 13
5 9 10 12 13 14
5 9 10 13 14 15
6 7 8 9 10 13
6 7 8 9 10 14
6 7 8 9 11
